primary/050|#FAFFFF|#FFFAFC|#FAFDFF|#FFFCFA|#FCFCFC|#FFFDFA|#FBFCFE|#FFFCFA|#FFFBFA|#FFFDFA
quaternary/300|#A489EB|#46B672|#978EEE|#CE8C4E|#9B9B9B|#5AB371|#859AD8|#5C9CFD|#56B46E|#A99A89
quaternary/350|#8E75CF|#25A05D|#8378D8|#B87736|#828282|#499C5F|#7085C2|#4686E7|#459D5D|#948574
quaternary/400|#7963B1|#008A4A|#6F63C1|#A2621D|#696969|#3D8550|#5D70AB|#3070CF|#39854E|#7F7060
quaternary/450|#645293|#00723C|#5C4EA8|#8A4E00|#525252|#316E41|#4A5C94|#1C5BB6|#2E6E40|#6A5D4D
quaternary/500|#52437B|#005F31|#4C3E92|#734000|#3E3E3E|#275B35|#3B4B7F|#0D4A9E|#255C34|#3E372E
quaternary/550|#443767|#004F28|#3F327D|#613500|#2C2C2C|#204C2B|#303E6C|#033C89|#1E4C2A|#25211D
quaternary/600|#3A2E57|#004321|#35296C|#522C00|#1E1E1E|#1A4024|#27345D|#013276|#184023|#131210
quaternary/650|#30264A|#00381B|#2C225C|#462400|#0F0F0F|#15361D|#202B4F|#012A65|#13361D|#0B0A09
pentenary/050|#FFF7ED|#FBF8FF|#E6F9FF|#FFF5D8|#FAFAFA|#FFF6F3|#FFF4DB|#FFF1F4|#FFF6F6|#FFF9F0
pentenary/100|#FFEFDA|#F6EEFF|#CDF3FF|#FEEAB3|#F0F0F0|#FFEDE7|#FAEAC5|#FFE3E8|#FFECED|#FEF0DC
pentenary/150|#F9D6A7|#E8D1FF|#ABE8FB|#F7DA8A|#DFDFDF|#FFD0C0|#F1DAA5|#FFCDD7|#FFCED0|#EDD9BD
pentenary/200|#EDC082|#DCB6FF|#86D7F0|#EAC554|#CCCCCC|#FFB49A|#E3C67F|#FFAFC0|#FFB1B5|#DFC5A1
pentenary/250|#DBA85F|#CE95FF|#60C2DE|#D8AD00|#B4B4B4|#F39877|#D0AE5B|#FF88A6|#F2949A|#CBAE84
pentenary/300|#C8913E|#BD78F5|#3AACCB|#BE9800|#9B9B9B|#E07F5C|#BC9837|#FF568B|#DF7B82|#B7976B
pentenary/350|#AF7D2D|#A760DE|#0F97B5|#A58300|#828282|#C56B4C|#A78214|#E83776|#C4686F|#A18255
pentenary/400|#956A25|#924AC7|#00809B|#8C6F00|#696969|#A85B3F|#8F6E00|#CF1462|#A7585E|#8C6D41
pentenary/450|#7C571D|#7C35AE|#006A81|#745C00|#525252|#8C4A33|#775B00|#AF0050|#8B484D|#76592E
pentenary/500|#674816|#692597|#00586B|#604C00|#3E3E3E|#743D29|#624B00|#920042|#743B3F|#45351C
pentenary/550|#563B12|#591982|#00495A|#503F00|#2C2C2C|#613221|#523E00|#7B0036|#613034|#282013
pentenary/600|#49320E|#4C1370|#003E4C|#443500|#1E1E1E|#532A1B|#463400|#69002D|#52282B|#14110B
pentenary/650|#3D290A|#400F60|#003441|#3A2C00|#0F0F0F|#462316|#3B2B00|#5A0025|#462124|#0B0907
